symbol,LTP,change,predicted_price,pChange,decision
CHOLAFIN.NS,1191.0,-1.16,1204.33,1.12,Predicted Watch
SYRMA.NS,542.05,0.01,534.07,-1.47,Predicted Sell
ADANIENT.NS,2826.0,-0.07,2826.42,0.01,Predicted Watch
IRB.NS,48.75,0.52,49.2,0.92,Predicted Watch
ISEC.NS,839.25,-0.24,842.98,0.44,Predicted Watch
INDIAMART.NS,2308.0,-0.04,2315.82,0.34,Predicted Watch
VIPIND.NS,463.35,0.08,463.03,-0.07,Predicted Sell
INDUSINDBK.NS,1040.75,-0.21,1045.04,0.41,Predicted Watch
ICICIGI.NS,1861.75,0.45,1879.75,0.97,Predicted Watch
BAJAJFINSV.NS,1660.8,-0.55,1679.71,1.14,Predicted Watch
DRREDDY.NS,1252.4,0.87,1235.42,-1.36,Predicted Sell
DLF.NS,757.05,0.15,753.34,-0.49,Predicted Sell
KPIL.NS,1194.25,-0.67,1192.85,-0.12,Predicted Sell
VEDL.NS,433.35,-0.49,438.0,1.07,Predicted Watch
EICHERMOT.NS,4899.95,3.73,4647.94,-5.14,Predicted Sell
IREDA.NS,190.3,1.07,190.18,-0.06,Predicted Sell
BDL.NS,993.35,0.24,990.79,-0.26,Predicted Sell
SONACOMS.NS,668.2,-0.89,668.64,0.07,Predicted Watch
USHAMART.NS,375.15,0.56,372.61,-0.68,Predicted Sell
KIRLOSBROS.NS,2001.3,2.48,1959.6,-2.08,Predicted Sell
GRANULES.NS,538.5,0.84,538.54,0.01,Predicted Watch
GPPL.NS,178.57,1.46,177.77,-0.45,Predicted Sell
BEML.NS,3802.15,-1.44,3835.48,0.88,Predicted Watch
PIIND.NS,4081.05,-5.77,4397.53,7.75,Predicted Watch
ITC.NS,472.15,0.07,473.08,0.2,Predicted Watch
CHAMBLFERT.NS,461.0,-0.44,464.05,0.66,Predicted Watch
BHARTIARTL.NS,1547.25,-0.3,1557.32,0.65,Predicted Watch
JKTYRE.NS,359.6,-1.24,364.05,1.24,Predicted Watch
IOB.NS,49.56,0.12,49.62,0.12,Predicted Watch
ASTERDM.NS,438.75,0.92,433.96,-1.09,Predicted Sell
MCX.NS,6040.6,1.11,6040.89,0.0,Predicted Watch
HDFCLIFE.NS,687.55,0.72,690.05,0.36,Predicted Watch
GESHIP.NS,1100.45,1.15,1102.29,0.17,Predicted Watch
ESCORTS.NS,3501.0,0.17,3518.14,0.49,Predicted Watch
ULTRACEMCO.NS,10564.45,-1.64,10756.54,1.82,Predicted Watch
INOXINDIA.NS,1183.3,-0.14,1182.28,-0.09,Predicted Sell
TITAGARH.NS,1103.3,1.22,1104.28,0.09,Predicted Watch
UBL.NS,1868.35,0.83,1871.27,0.16,Predicted Watch
KEI.NS,3837.65,-1.02,3886.5,1.27,Predicted Watch
AMBUJACEM.NS,541.8,-0.66,546.9,0.94,Predicted Watch
YESBANK.NS,19.33,0.16,19.3,-0.16,Predicted Sell
COALINDIA.NS,409.45,0.37,409.33,-0.03,Predicted Sell
PNB.NS,101.47,0.02,101.3,-0.17,Predicted Sell
PATANJALI.NS,1834.75,-0.07,1843.52,0.48,Predicted Watch
FIVESTAR.NS,648.8,0.93,643.89,-0.76,Predicted Sell
GSPL.NS,358.3,-0.42,363.09,1.34,Predicted Buy Opportunity
ZYDUSLIFE.NS,972.55,1.42,966.19,-0.65,Predicted Sell
IDEA.NS,7.4,-0.27,7.45,0.68,Predicted Watch
COLPAL.NS,2774.15,0.11,2783.12,0.32,Predicted Watch
GUJGASLTD.NS,493.0,0.0,495.33,0.47,Predicted Watch
TATACONSUM.NS,950.4,0.0,956.64,0.66,Predicted Watch
TVSSCS.NS,180.25,1.75,178.47,-0.99,Predicted Sell
RTNINDIA.NS,62.33,-0.46,62.72,0.63,Predicted Watch
VOLTAS.NS,1703.8,0.65,1687.67,-0.95,Predicted Sell
VBL.NS,576.15,0.19,574.15,-0.35,Predicted Sell
BIKAJI.NS,820.05,-0.01,827.58,0.92,Predicted Watch
JINDALSAW.NS,293.55,0.88,293.49,-0.02,Predicted Sell
IIFL.NS,424.25,0.05,423.54,-0.17,Predicted Sell
MAHABANK.NS,50.66,0.34,50.56,-0.2,Predicted Sell
